Order,Name,Khmer,Geocode,number of Villages,District,Province,Latitude,Longitude
257,Kaoh Andaet,កោះអណ្ដែត,31404,4,Srei Santhor,Kampong Cham ,11.9181817,105.2604409
258,Mean Chey,មានជ័យ,31405,7,Srei Santhor,Kampong Cham ,11.8318868,105.0645091
259,Phteah Kandal,ផ្ទះកណ្ដាល,31406,4,Srei Santhor,Kampong Cham ,11.8481836,105.1289758
260,Pram Yam,ប្រាំយ៉ាម,31407,4,Srei Santhor,Kampong Cham ,11.7851214,105.1609838
261,Preaek Dambouk,ព្រែកដំបូក,31408,9,Srei Santhor,Kampong Cham ,11.8912724,105.1604569
262,Preaek Pou,ព្រែកពោធិ,31409,12,Srei Santhor,Kampong Cham ,11.837699,105.113274
263,Preaek Rumdeng,ព្រែករំដេង,31410,14,Srei Santhor,Kampong Cham ,11.8781755,105.2503167
264,Ruessei Srok,ឫស្សីស្រុក,31411,4,Srei Santhor,Kampong Cham ,11.9291703,105.2016925
265,Svay Pou,ស្វាយពោធិ,31412,6,Srei Santhor,Kampong Cham ,11.7807869,105.081319
266,Svay Khsach Phnum,ស្វាយខ្សាច់ភ្នំ,31413,4,Srei Santhor,Kampong Cham ,11.920157,105.1805863
267,Tong Tralach,ទងត្រឡាច,31414,4,Srei Santhor,Kampong Cham ,11.7717231,105.127278
268,Areaks Tnot,អារក្សត្នោត,31501,7,Stueng Trang,Kampong Cham ,12.368098,105.6402341
